Latitude,Longitude,Altitude (MSL),Satellites,Timestamp,Accel X,Accel Y,Accel Z,Altitude (AGL),Gyro X,Gyro Y,Gyro Z
0,0,0,0,0 : 0 : 4 : 240,1.21,-1.34,-7.24,0,0,0,0
0,0,0,0,0 : 0 : 4 : 260,-1.09,-3.15,-8.25,0,0,0,0
0,0,0,0,0 : 0 : 4 : 280,-2.77,-1.12,-7.44,0,0,0,0
0,0,0,0,0 : 0 : 4 : 300,-2.79,0.2,-8.02,0,0,0,0
0,0,0,0,0 : 0 : 4 : 320,0.47,-3.45,-11.03,0,0,0,0
0,0,0,0,0 : 0 : 4 : 340,-0.47,0.37,-8.23,0,0,0,0
0,0,0,0,0 : 0 : 4 : 360,-0.25,-2.68,-8.53,0,0,0,0
0,0,0,0,0 : 0 : 4 : 380,4.05,4.59,-7.9,0,0,0,0
0,0,0,0,0 : 0 : 4 : 400,2.03,1.36,-9.59,0,0,0,0
0,0,0,0,0 : 0 : 4 : 420,5.53,1.79,-4.65,0,0,0,0
0,0,0,0,0 : 0 : 4 : 440,3.73,1.61,-7.52,0,0,0,0
0,0,0,0,0 : 0 : 4 : 460,1.34,1.77,-11.05,0,0,0,0
0,0,0,0,0 : 0 : 4 : 480,-1.42,2.56,-11.85,0,0,0,0
0,0,0,0,0 : 0 : 4 : 500,-6.47,1.33,-15.3,0,0,0,0
0,0,0,0,0 : 0 : 4 : 520,-4.85,1.69,-13.34,0,0,0,0
0,0,0,0,0 : 0 : 4 : 540,3.61,1.23,-2.05,0,0,0,0
0,0,0,0,0 : 0 : 4 : 560,-2.93,-7.97,-7.95,0,0,0,0
0,0,0,0,0 : 0 : 4 : 580,-2.1,-8.05,-13.63,0,0,0,0
0,0,0,0,0 : 0 : 4 : 600,0.8,-1.31,-11.34,0,0,0,0
0,0,0,0,0 : 0 : 4 : 620,-3.78,-7.14,-11.56,0,0,0,0
0,0,0,0,0 : 0 : 4 : 640,-4.03,-8.69,-10.39,0,0,0,0
0,0,0,0,0 : 0 : 4 : 660,-0.27,-1.83,-5.92,0,0,0,0
0,0,0,0,0 : 0 : 4 : 680,2.1,-0.28,-10.98,0,0,0,0
0,0,0,0,0 : 0 : 4 : 700,1.61,0.9,-12.25,0,0,0,0
0,0,0,0,0 : 0 : 4 : 720,-0.42,-3.08,-11.27,0,0,0,0
0,0,0,0,0 : 0 : 4 : 740,-0.09,-2.02,-8.74,0,0,0,0
0,0,0,0,0 : 0 : 4 : 760,-0.18,-0.18,-7.83,0,0,0,0
0,0,0,0,0 : 0 : 4 : 780,-1.73,-1.93,-9.38,0,0,0,0
0,0,0,0,0 : 0 : 4 : 800,-14.29,-5.61,-9.62,0,0,0,0
0,0,0,0,0 : 0 : 4 : 820,0.19,-0.5,-11.08,0,0,0,0
0,0,0,0,0 : 0 : 4 : 840,0.83,-2.39,-8.43,0,0,0,0
0,0,0,0,0 : 0 : 4 : 860,1,-2.25,-7.96,0,0,0,0
0,0,0,0,0 : 0 : 4 : 880,-0.04,-2.83,-10.37,0,0,0,0
0,0,0,0,0 : 0 : 4 : 900,0.03,-1.74,-10.73,0,0,0,0
0,0,0,0,0 : 0 : 4 : 920,0.65,0.19,-7.45,0,0,0,0
0,0,0,0,0 : 0 : 4 : 940,0.55,-4.17,-8.2,0,0,0,0
0,0,0,0,0 : 0 : 4 : 960,3.09,-2.99,-8.65,0,0,0,0
0,0,0,0,0 : 0 : 4 : 980,1.6,-0.57,-10.42,0,0,0,0
0,0,0,0,0 : 0 : 5 : 0,4.04,-0.05,-9.12,0,0,0,0
0,0,0,0,0 : 0 : 5 : 20,6.2,9.35,-8.32,0,0,0,0
0,0,0,0,0 : 0 : 5 : 40,2.39,-1.44,-8.91,0,0,0,0
0,0,0,0,0 : 0 : 5 : 60,-0.48,-6.05,-10.74,0,0,0,0
0,0,0,0,0 : 0 : 5 : 80,-0.24,-2.41,-11.27,0,0,0,0
0,0,0,0,0 : 0 : 5 : 100,-1.98,-2.57,-10.69,0,0,0,0
0,0,0,0,0 : 0 : 5 : 120,-0.07,-3.41,-7.49,0,0,0,0
0,0,0,0,0 : 0 : 5 : 140,-0.49,-4.17,-7.45,0,0,0,0
0,0,0,0,0 : 0 : 5 : 160,0.57,-3.55,-7.52,0,0,0,0
0,0,0,0,0 : 0 : 5 : 180,1.93,-2.06,-8.08,0,0,0,0
0,0,0,0,0 : 0 : 5 : 200,1.49,-3.01,-9.25,0,0,0,0
0,0,0,0,0 : 0 : 5 : 220,0.01,0.01,-8.94,0,0,0,0
0,0,0,0,0 : 0 : 5 : 240,-0.19,-1.96,-8.72,0,0,0,0
0,0,0,0,0 : 0 : 5 : 260,0.68,-1.26,-8.51,0,0,0,0
0,0,0,0,0 : 0 : 5 : 280,0.01,-2.4,-9.28,0,0,0,0
0,0,0,0,0 : 0 : 5 : 300,0.57,-1.51,-8.76,0,0,0,0
0,0,0,0,0 : 0 : 5 : 320,1.31,-3.73,-9.74,0,0,0,0
0,0,0,0,0 : 0 : 5 : 340,0.04,-2.6,-10.41,0,0,0,0
0,0,0,0,0 : 0 : 5 : 360,-0.01,-3.17,-10.34,0,0,0,0
0,0,0,0,0 : 0 : 5 : 380,1.11,-4.12,-10.29,0,0,0,0
0,0,0,0,0 : 0 : 5 : 400,0.15,-3.55,-10.51,0,0,0,0
0,0,0,0,0 : 0 : 5 : 420,0.03,-3.78,-9.87,0,0,0,0
0,0,0,0,0 : 0 : 5 : 440,0.07,-3.52,-10.07,0,0,0,0
0,0,0,0,0 : 0 : 5 : 460,-0.83,-2.89,-8.56,0,0,0,0
0,0,0,0,0 : 0 : 5 : 480,-1.67,-2.84,-8.7,0,0,0,0
0,0,0,0,0 : 0 : 5 : 500,-0.98,-3.12,-9.04,0,0,0,0
0,0,0,0,0 : 0 : 5 : 520,-2.53,-2.13,-8.5,0,0,0,0
0,0,0,0,0 : 0 : 5 : 540,-3.37,-1.77,-7.02,0,0,0,0
0,0,0,0,0 : 0 : 5 : 560,-2.84,-3.29,-5.99,0,0,0,0
0,0,0,0,0 : 0 : 5 : 580,-2.68,-4.38,-7.12,0,0,0,0
0,0,0,0,0 : 0 : 5 : 600,-4.71,-3.94,-7.49,0,0,0,0
0,0,0,0,0 : 0 : 5 : 620,-3.41,-5.6,-7.37,0,0,0,0
0,0,0,0,0 : 0 : 5 : 640,-5.69,-5.85,-6.14,0,0,0,0
0,0,0,0,0 : 0 : 5 : 660,-5.89,-5.19,-6.4,0,0,0,0
0,0,0,0,0 : 0 : 5 : 680,-4.44,-5.11,-6.47,0,0,0,0
0,0,0,0,0 : 0 : 5 : 700,-5.13,-5.55,-5.66,0,0,0,0
0,0,0,0,0 : 0 : 5 : 720,-7.01,-5.9,-5.2,0,0,0,0
0,0,0,0,0 : 0 : 5 : 740,-6.34,-5.17,-5.79,0,0,0,0
0,0,0,0,0 : 0 : 5 : 760,-6.52,-6.38,-5.61,0,0,0,0
0,0,0,0,0 : 0 : 5 : 780,-5.61,-7.57,-4.31,0,0,0,0
0,0,0,0,0 : 0 : 5 : 800,-5.76,-7.67,-4.11,0,0,0,0
0,0,0,0,0 : 0 : 5 : 820,-5.31,-7.11,-4.38,0,0,0,0
0,0,0,0,0 : 0 : 5 : 840,-6.37,-6.35,-4.62,0,0,0,0
0,0,0,0,0 : 0 : 5 : 860,-5.86,-5.65,-5.02,0,0,0,0
0,0,0,0,0 : 0 : 5 : 880,-6.8,-6.14,-5.09,0,0,0,0
0,0,0,0,0 : 0 : 5 : 900,-7.97,-5.89,-4.31,0,0,0,0
0,0,0,0,0 : 0 : 5 : 920,-7.05,-6.12,-3.48,0,0,0,0
0,0,0,0,0 : 0 : 5 : 940,-7.95,-3.04,-3.68,0,0,0,0
0,0,0,0,0 : 0 : 5 : 960,-8.71,-2.32,-4.08,0,0,0,0
0,0,0,0,0 : 0 : 5 : 980,-8.03,-2.39,-4.49,0,0,0,0
0,0,0,0,0 : 0 : 6 : 0,-7.18,-3.04,-4.67,0,0,0,0
0,0,0,0,0 : 0 : 6 : 20,-6.84,-3.29,-4.71,0,0,0,0
0,0,0,0,0 : 0 : 6 : 40,-7.05,-3.36,-5.15,0,0,0,0
0,0,0,0,0 : 0 : 6 : 60,-8.43,-2.97,-5.33,0,0,0,0
0,0,0,0,0 : 0 : 6 : 80,-9.62,-2.81,-4.82,0,0,0,0
0,0,0,0,0 : 0 : 6 : 100,-6.99,-4.7,-3.83,0,0,0,0
0,0,0,0,0 : 0 : 6 : 120,-8.04,-4.22,-4.18,0,0,0,0
0,0,0,0,0 : 0 : 6 : 140,-7.51,-4.3,-4.4,0,0,0,0
